Gene_symbol Ratio_2h Ratio_6h Ratio_12h Ratio_18h Ratio_24h Count_2h Count_6h Count_12h Count_18h Count_24h
AMPD2 0.018220396409806 0.141875737444287 0.00192006152852046 0.0848692246064527 -0.047398788875411 3 3 2 2 2
ANAPC1 -0.0718999315656331 0.132340710850889 -0.108089491840297 -0.0510240030244669 -0.0946414541150622 5 11 6 10 13
ANAPC4 -0.100977647724821 -0.0751903141552193 0.123103950713528 0.154200869072337 0.169436371254278 4 6 5 6 5
ANAPC5 -0.0672256725319715 0.0218922528959701 -0.0496307677246004 -0.19484351199952 -0.149259365499623 4 8 6 6 8
ANAPC7 0.15804297817842 0.0109336743134814 0.136457948820421 0.0987990566679789 -0.116497840501748 6 12 11 11 12
ANKFY1 0.0692702306932451 0.0298826023945 -0.051580920630645 -0.0280032784727525 -0.219214995795424 5 8 6 6 7
ANKHD1 0.0476664336303143 0.178061257316996 0.0329494695276465 0.0458036896131248 -0.0517201164473277 20 28 21 19 28
ANKLE2 0.093725085630267 0.0966377385065908 -0.165043649483044 -0.165944087770598 -0.189286906583612 4 5 5 6 6
ANKMY2 0.0561311701276098 -0.0187765851791832 0.221051338455347 0.13633108921178 0.25589058398353 4 3 1 1 1
ANKRD13A -0.193456365749585 -0.0223323000980563 0.108969732159077 0.183375719734714 0.288751804282409 5 5 6 7 7
ANKRD17 0.121564992104473 0.0833399252053896 0.0325657544104226 -0.0984195577655445 -0.197991165735134 6 7 4 4 6
ANKRD27 0.0472638772288125 -0.129348967210841 0.0414319732335233 0.245129596545749 0.033333286729136 2 5 3 2 4
ANKRD28 0.0362299689292373 -0.0412429822318814 0.047606788556679 -0.0714881055841823 -0.00776959414591767 11 14 14 12 15
ANKRD44 0.0349582595563171 0.104604304569639 0.0300446293124635 0.351884343625118 0.435787696020371 4 4 4 6 6
ANKRD52 0.167118085198574 0.0869670000478588 -0.00992040959306384 0.0181473467102592 -0.0932897300014767 4 3 3 4 6
ANKS1A 0.110713377436877 0.091924957210983 -0.0219060767336222 0.014179006413963 0.0161764016771232 8 6 6 8 7
ANKZF1 0.137663671787854 0.13332144739731 -0.262914176237417 0.101876799007246 -0.255561158900354 7 8 5 3 5
ANO6 -0.218967110048957 -0.093695380233557 -0.106616328987784 0.00779715854069226 0.11966711132536 4 4 4 5 3
ANP32A 0.0338353556539486 0.047740993440191 0.0402595149145174 -0.0018742855313508 -0.0535284409892993 11 10 11 14 12
ANP32B -0.0326651122818301 -0.0524158941511385 -0.0398402645317911 -0.0630887120192842 -0.00100953323319866 30 28 27 32 31
ANP32E -0.131326074606591 -0.0339339114419318 -0.0547790315196196 -0.0389979787975099 -0.0702519218204442 15 13 11 15 14
ANXA1 0.163429484582848 0.098613673900415 0.155003811634577 0.180773275156233 0.237659689583835 50 55 52 61 50
ANXA11 0.0392214233957577 -0.051580920630645 0.0139750486782889 0.0534487862243205 0.1262970253907 16 18 16 15 16
ANXA4 0.0747904833537767 -0.00820001383213612 0.0660195370192934 0.107678924632849 0.286022711145234 8 13 12 9 10
ANXA5 -0.0263043243519084 -0.0189189821630518 0.0660950514182811 0.241048757846045 0.329141539922725 34 46 32 50 43
ANXA6 0.0228006864749852 0.04300664362271 0.102496233997071 0.293252866072707 0.441007526445384 67 77 73 76 73
ANXA7 0.0153450326566524 -0.00446543677030055 0.102000664730209 0.159025241410617 0.24299382690766 9 7 7 8 8
AP1B1 0.0488897013762379 0.0429620538383605 0.0461462540062797 0.115972627767618 0.138076387402128 59 52 46 56 56
AP1G1 0.00980025685470464 -0.000432743603971213 0.0985209914488292 0.11642610138912 0.118883591488098 12 15 14 15 17
AP1G2 0.0688767340103638 -0.102322191196686 0.0339682855034758 0.00872578586073783 -0.0563060603318765 3 5 5 4 7
AP1M1 0.137949385406744 0.0572865806677393 0.0827439375626444 0.0375768366562451 0.101582660530327 14 18 20 17 17
AP2A1 -0.0216218578515189 -0.0209110655816899 0.116676354760386 0.154473819406135 0.251452894846843 24 21 19 24 26
AP2A2 0.00998909793909967 -0.00920382732983982 -0.0528331997629446 -0.0316774964507602 0.0432593451023717 9 12 11 10 15
AP2B1 0.0335547661874822 0.0787617296261606 0.099880931173526 0.216434388037343 0.267513706970055 20 18 20 22 20
AP2M1 0.151025598031152 0.135665259217572 -0.0172092900322231 0.0879020283955948 0.117051816229028 12 10 11 13 12
AP2S1 0.0714060647353247 0.109701183844048 -0.00273851980692881 0.131581888558741 0.12329250749091 4 6 4 5 6
AP3B1 0.0585330603700537 0.101257629863651 0.0832023677412342 0.105830261393749 0.122224344786491 27 25 21 26 28
AP3D1 0.0446127943974746 0.117709109014977 0.0331413653644633 0.0701484179349909 0.0248247397094229 10 17 10 9 17
AP3M1 0.0718912335834518 -0.0771062441059786 0.0728468868274064 0.000158705183442849 0.0554413661305491 10 9 8 12 10
AP3S1 -0.11809388938682 0.195996019033679 -0.0810668804918884 0.187427844857544 0.123653976878573 5 5 6 4 4
APBB1IP 0.0503978361592641 0.0634694721694616 0.0205453079659621 -0.121413330915865 -0.252052275031513 23 22 20 25 21
APEH -0.0203421795171858 0.0402595149145174 0.0506518357114366 0.0383766717130554 0.120717695490729 21 25 21 24 23
APEX1 -0.0799753767205958 -0.196984663529218 -0.0443241688122014 0.013013921825082 0.00142897555014671 16 17 14 14 16
API5 0.0423230849930166 -0.0277202583559274 0.0076231074432261 -0.00273851980692881 0.0076231074432261 23 27 24 33 29
APIP -0.0702519218204442 0.060246850047773 0.0390880086625024 0.155855418940657 0.00800024469716469 5 10 9 8 10
APOA1BP 0.00804376687889241 -0.0234682805039054 0.0859866377050554 0.0924170769171593 0.201393672440499 10 9 5 11 9
APOBEC3G -0.0298415571367151 -0.0636409926426958 -0.0611540632071007 0.0213503955972477 -0.0546401305383454 4 3 3 2 2
APOOL -0.0176369030494984 -0.143393418693188 -0.115699153431586 -0.0126401807787704 -0.0692897127155347 12 15 9 11 14
APPL1 0.0223463981828792 0.0607132328607293 0.0426796838699914 0.0907722090066738 0.0592093131164035 25 27 20 20 27
APRT 0.171140984319004 -0.194591402773734 0.0188341599590062 0.0282633332637641 0.248570557710126 8 9 7 8 7
AQR -0.0648828515848544 -0.154971988316384 0.0306634449811489 -0.0360461001568595 0.0163223053019327 46 49 41 41 53
ARAP1 0.0317543854891497 0.048292855827063 0.0257643957909292 0.26692337779186 0.367992423921175 13 12 7 8 16
ARCN1 -0.028569152196771 -0.00977712161152997 -0.0112093614203034 0.0404672228834536 0.0112680572193449 30 31 33 34 32
ARF1;ARF3 -0.00906046815638366 0.0226394710289783 -0.00619028907206976 0.034514903602503 0.0506219510900253 27 35 36 42 34
ARF4 0.0177675478860059 -0.0413831790194062 0 0.215094044849375 0.167928251241232 8 9 9 10 9
ARF5 -0.207268173112028 -0.119688174519196 -0.183073576214852 -0.102590949588091 0.0280573747802096 4 6 4 4 6
ARF6 0.164205248744245 0.222262584625332 0.149024600410986 0.204997816768525 0.199404456731909 6 7 5 6 6
ARFGAP1 0.0168768736865412 0.0585330603700537 0.0231964735104339 0.0625652068153545 0.0367626454083049 14 12 14 11 17
ARFGAP2 -0.0639170536923114 0.113879115867392 0.205313816121642 0.121910329736139 -0.0289934118795487 5 9 5 6 9
ARFGAP3 0.0622036593134484 0.17762062762432 0.0410014664448585 0.25985820485284 0.234787774458657 7 9 4 6 10
ARFGEF1 -0.0632268019969814 -0.0615688492680028 0.0612399753693698 0.0428877405935276 -0.106348319505147 4 5 4 4 5
ARFGEF2 -0.0603241331511038 0.0253385382977406 0.0841502519753551 0.1077411057436 -0.170694233687083 4 9 6 7 8
ARFIP2 -0.265076777469813 -0.120219211624994 0.0771475678118551 0.0621132865933605 -0.0947765568955974 5 3 2 4 5
ARHGAP1 0.0288666665889904 -0.0448836782397647 0.046801821319007 0.0604875449311721 0.0754439983134458 16 20 17 19 24
ARHGAP15 -0.208017754895892 -0.404903122145131 -0.0528331997629446 0.0153596139500522 0.0162639420813221 6 7 8 7 8
ARHGAP17 0.217843089875874 0.201609335562422 0.285495095344999 0.243574443276263 0.307787079462121 5 5 3 4 4
ARHGAP19 0.000144276718044916 -0.685536540934353 -0.84478735007906 -1.03322916078511 -1.13441810556385 6 6 4 6 7
ARHGAP31 -0.543198900193333 -1.02658762234808 -0.748547105153157 -1.51404649301492 -1.74996325816927 2 2 3 3 3
ARHGAP4 -0.0604624879861069 -0.0346383179990089 -0.079019633034838 0.0404968978917522 -0.0510240030244669 10 11 7 5 13
ARHGDIA 0.0117479594101339 -0.0313951962755344 -0.0409625477784978 -0.0299828662157143 -0.0263043243519084 25 26 29 21 27
ARHGDIB 0.0705422616713656 0.0581274608244535 0.0535685628962842 0.0626104066244811 0.1203569609527 56 45 39 37 39
ARHGEF1 0.0784417993641914 0.0636051608709406 0.0868444183165032 0.068937264976257 0.0371474785513476 37 44 36 44 40
ARHGEF18 0.00180449684674798 -0.135797512223391 -0.200127654273602 -0.302991615612752 -0.360195694732358 8 11 7 5 10
ARHGEF2 0.164560946775875 -0.0416635317293615 -0.00963381939726867 -0.0510240030244669 -0.0652965671277809 23 24 21 25 21
ARHGEF7 -0.051580920630645 0.0901731437510814 0.186705175164965 0.387826817089122 0.43520237670007 39 36 35 33 36
ARID1A 0.00958239400639045 0.0972549276544679 0.0392807227932295 0.0639368980990793 -0.0305479641629666 48 55 41 48 61
ARID1B -0.0430644786649374 0.00209342591012558 0.168236233667354 -0.102993993323326 0.177604310590272 3 5 3 5 7
ARID2 -0.0506061736907874 0.0760826011622577 0.0733628993239945 0.071315113737697 0.0207355608639655 20 21 19 20 20
ARID4B -0.0227583975781575 0.215462515107241 0.129323593313599 -0.0221902396340659 -0.0554733358984315 13 13 8 8 14
ARIH1 0.109545524765005 0.0692853673246158 0.063529776683479 0.0187172324834125 0.217742422686861 3 5 5 3 5
ARIH2 -0.320195821266125 -0.0672256725319715 -0.173767067736706 0.0245899212855334 -0.122606462651041 5 4 3 5 5
ARL1 0.115175485262271 0.117364775446041 0.182704199799375 0.202156932934459 -0.298892881054161 2 2 3 3 5
ARL3 0.177587993740769 -0.183708816875412 -0.104873376726018 0.0537332720589371 -0.0472591754780128 5 5 4 5 4
ARL8B -0.0413831790194062 -0.0360461001568595 0.0302361391336065 0.0692702306932451 0.0613453469533109 15 16 16 18 17
ARMC1 0.106389270985089 0.116238439844075 -0.0180643893603616 0.127226388906381 0.0111662803042332 3 5 3 3 2
ARMC6 -0.0224743465748992 -0.00820001383213612 -0.026729250487489 -0.0313951962755344 -0.0149265442381028 13 14 11 11 15
ARMC8 -0.0768326955573985 0.00144341686966884 0.212166378272032 0.302190602707401 0.276852135386373 3 4 4 4 3
ARMCX3 0.0734539795147393 0.0113553002902081 0.186015691620318 0.1893348019686 0.261431020265572 2 4 4 5 6
ARPC1A 0.0221119827640755 -0.000288510158123554 0.077360655510557 0.146914555433098 0.0415359079149749 6 8 7 9 7
ARPC1B 0.130491780282041 0.0351356400943548 0.0861857198966146 0.206545210611794 0.156112606755027 17 16 16 21 16
ARPC2 0.0649627502486333 0.0511151265209598 0.073241468013535 0.146243824156365 0.0853895559093268 32 36 28 39 38
ARPC3 0.112271986363995 0.154040334171997 0.10285252958347 0.260221010095765 0.195731622713665 9 8 8 9 9
ARPC4;ARPC4-TTLL3 0.0931863501789014 0.00309067559115342 0.111492471420951 0.19779850956195 0.122899708677505 14 17 17 21 18
ARPC5 0.0819038603871987 -0.00144197417390627 0.0783961008321219 0.165013780234123 0.111788637485694 10 7 7 9 7
ARPC5L 0.208610987533419 0.0456696648155427 0.284563445403492 0.0502932611048672 0.0768432113998765 3 1 1 3 3
ARRB2 -0.0863761675969373 -0.0932897300014767 -0.0340748202705722 -0.162081103382375 -0.339821504923342 5 6 4 4 7
AS3MT 0.387468207690358 0.0758392905540746 0.316582007094624 0.571986283213771 0.574798534215592 3 3 4 5 3
ASAH1 -0.158854029516618 -0.265676925172169 -0.100708588596684 -0.0517201164473277 0.0283516101868601 4 5 5 4 5
ASCC1 0.216836733938383 -0.14522093708563 0.2963145425519 0.0125772575640865 -0.381394131786851 2 3 3 3 2
ASCC2 -0.0817486512341679 0.0837220981041403 0.00330756024720772 0.0592995041042354 0.130286489744618 4 5 5 6 4
ASCC3 -0.331131922217202 -0.259664183948651 -0.154971988316384 -0.171719239087848 -0.0525550094341053 3 4 3 3 4
ASF1A 0.0387915756419728 0.15595185899824 0.256924564013375 0.359878873296074 0.193007858304119 5 5 8 6 7
ASF1B 0.040704640042509 0.216702606170072 0.0931863501789014 0.109467701523074 -0.162983392023465 3 4 3 4 5
ASH2L 0.116160254737544 0.02833689699123 0.110386283384196 0.0382877792501988 0.0838138346660821 9 9 7 7 8
ASMTL -0.127897364486064 -0.0589398545562329 -0.01292617444427 -0.095586907997724 -0.107955630087393 16 18 18 16 19
ASNA1 0.0262491452072238 -0.00100953323319866 -0.0274371827068512 -0.0388575500203622 0.0455058736362426 11 12 11 13 17
