gene_ENSG_id	gene_symbol	gene_description
AC009948.7	ENSG00000238082	NA
AC009996.1	ENSG00000179523	NA
AC010093.1	ENSG00000213189	NA
AC010132.9	ENSG00000229161	NA
AC010203.2	ENSG00000238105	NA
AC010326.2	ENSG00000213758	NA
AC010326.5	ENSG00000225702	NA
AC010332.1	ENSG00000246015	NA
AC010442.1	ENSG00000225138	NA
AC010468.1	ENSG00000214784	NA
AC010491.1	ENSG00000212736	NA
AC010522.1	ENSG00000204517	NA
AC010522.2	ENSG00000250014	NA
AC010531.3	ENSG00000131152	NA
AC010536.1	ENSG00000205047	NA
AC010609.3	ENSG00000250783	NA
AC010616.2	ENSG00000235187	NA
AC010619.1	ENSG00000142534	NA
AC010733.1	ENSG00000245247	NA
AC011043.2	ENSG00000215781	NA
AC011139.1	ENSG00000175886	NA
AC011247.2	ENSG00000213553	NA
AC011322.1	ENSG00000224694	NA
AC011452.1	ENSG00000250401	NA
AC011466.2	ENSG00000196223	NA
AC011471.1	ENSG00000247165	NA
AC011477.1	ENSG00000245381	NA
AC011477.2	ENSG00000228642	NA
AC011479.1	ENSG00000167642	NA
AC011498.2	ENSG00000167674	NA
AC011533.1	ENSG00000233270	NA
AC011551.1	ENSG00000249210	NA
AC011738.4	ENSG00000231638	NA
AC011815.1	ENSG00000215490	NA
AC011841.5	ENSG00000215705	NA
AC011841.7	ENSG00000212884	NA
AC011893.3	ENSG00000226806	NA
AC011912.1	ENSG00000248800	NA
AC012066.1	ENSG00000213197	NA
AC012100.1	ENSG00000138600	NA
AC012146.7	ENSG00000234327	NA
AC012170.2	ENSG00000246338	NA
AC012184.1	ENSG00000245206	NA
AC012307.3	ENSG00000204685	NA
AC012309.3	ENSG00000197800	NA
AC012313.3	ENSG00000232098	NA
AC012314.8	ENSG00000237017	NA
AC012354.8	ENSG00000231848	NA
AC012363.5	ENSG00000249674	NA
AC012379.1	ENSG00000250663	NA
AC012379.2	ENSG00000235883	NA
AC012435.1	ENSG00000247240	NA
AC012615.1	ENSG00000247727	NA
AC012618.1	ENSG00000229504	NA
AC012621.2	ENSG00000103540	NA
AC012652.1	ENSG00000187446	NA
AC012652.2	ENSG00000247556	NA
AC013248.1	ENSG00000230897	NA
AC013272.3	ENSG00000231584	NA
AC013283.1	ENSG00000246732	NA
AC013400.2	ENSG00000228784	NA
AC013418.2	ENSG00000245793	NA
AC013461.1	ENSG00000091436	NA
AC013470.6	ENSG00000236048	NA
AC013474.3	ENSG00000213236	NA
AC013553.1	ENSG00000186198	NA
AC015550.1	ENSG00000245302	NA
AC015723.1	ENSG00000189419	NA
AC015801.2	ENSG00000228218	NA
AC015813.2	ENSG00000234873	NA
AC015849.1	ENSG00000245021	NA
AC015911.1	ENSG00000213508	NA
AC015917.2	ENSG00000183405	NA
AC015936.1	ENSG00000247075	NA
AC015976.3	ENSG00000172878	NA
AC016292.3	ENSG00000108958	NA
AC016590.1	ENSG00000248454	NA
AC016629.2	ENSG00000213753	NA
AC016683.6	ENSG00000189223	NA
AC016700.5	ENSG00000231327	NA
AC016712.2	ENSG00000235225	NA
AC016732.2	ENSG00000213194	NA
AC016734.2	ENSG00000228305	NA
AC016738.1	ENSG00000246929	NA
AC016739.2	ENSG00000218175	NA
AC016839.1	ENSG00000188985	NA
AC017074.2	ENSG00000227359	NA
AC017104.3	ENSG00000172799	NA
AC018557.1	ENSG00000246901	NA
AC018633.4	ENSG00000229358	NA
AC018638.2	ENSG00000214175	NA
AC018638.6	ENSG00000229413	NA
AC018641.6	ENSG00000226421	NA
AC018642.1	ENSG00000236753	NA
AC018705.2	ENSG00000248258	NA
AC018737.1	ENSG00000236859	NA
AC018766.1	ENSG00000245041	NA
AC018804.7	ENSG00000213225	NA
AC018865.5	ENSG00000217289	NA
AC018890.1	ENSG00000235655	NA
AC018892.1	ENSG00000242421	NA
AC018926.2	ENSG00000225973	NA
AC019097.7	ENSG00000231822	NA
AC019178.1	ENSG00000204253	NA
AC019201.1	ENSG00000230562	NA
AC020629.2	ENSG00000213680	NA
AC020907.6	ENSG00000089351	NA
AC020915.1	ENSG00000246051	NA
AC020915.2	ENSG00000244936	NA
AC020915.4	ENSG00000142396	NA
AC020928.2	ENSG00000196761	NA
AC020928.3	ENSG00000244997	NA
AC021049.1	ENSG00000253938	NA
AC021054.1	ENSG00000177406	NA
AC021593.1	ENSG00000204282	NA
AC021593.2	ENSG00000078687	NA
AC021755.4	ENSG00000248508	NA
AC022007.5	ENSG00000206567	NA
AC022035.1	ENSG00000249983	NA
AC022087.1	ENSG00000244879	NA
AC022098.1	ENSG00000248045	NA
AC022098.2	ENSG00000141854	NA
AC022098.3	ENSG00000141858	NA
AC022098.4	ENSG00000228887	NA
AC022405.2	ENSG00000245849	NA
AC022431.1	ENSG00000226221	NA
AC022506.1	ENSG00000237969	NA
AC022613.1	ENSG00000234664	NA
AC022911.1	ENSG00000245176	NA
AC022916.1	ENSG00000247843	NA
AC023024.2	ENSG00000131871	NA
AC023055.2	ENSG00000182796	NA
AC023161.2	ENSG00000213249	NA
AC023161.3	ENSG00000236349	NA
AC023355.2	ENSG00000245373	NA
AC023355.3	ENSG00000246076	NA
AC023480.1	ENSG00000229241	NA
AC023485.1	ENSG00000236152	NA
AC023818.1	ENSG00000247487	NA
AC023818.3	ENSG00000251672	NA
AC023830.4	ENSG00000247051	NA
AC024075.1	ENSG00000246896	NA
AC024270.1	ENSG00000166503	NA
AC024560.3	ENSG00000214135	NA
AC024575.2	ENSG00000105520	NA
AC024937.1	ENSG00000243990	NA
AC025165.8	ENSG00000224713	NA
AC025171.1	ENSG00000215068	NA
AC025260.1	ENSG00000225307	NA
AC025287.3	ENSG00000213308	NA
AC025335.1	ENSG00000179859	NA
AC025370.1	ENSG00000250720	NA
AC026250.1	ENSG00000246273	NA
AC026250.4	ENSG00000245522	NA
AC026271.1	ENSG00000248683	NA
AC026271.3	ENSG00000224126	NA
AC026271.5	ENSG00000174977	NA
AC026271.6	ENSG00000249459	NA
AC026468.1	ENSG00000226232	NA
AC026801.2	ENSG00000251069	NA
AC027097.3	ENSG00000197604	NA
AC027139.3	ENSG00000215042	NA
AC027237.2	ENSG00000245184	NA
AC027601.1	ENSG00000233923	NA
AC027607.1	ENSG00000245325	NA
AC027612.1	ENSG00000232531	NA
AC027612.6	ENSG00000143429	NA
AC027667.1	ENSG00000177990	NA
AC027763.2	ENSG00000215067	NA
AC034193.5	ENSG00000180385	NA
AC037459.1	ENSG00000251263	NA
AC037473.1	ENSG00000223790	NA
AC039057.1	ENSG00000230183	NA
AC040934.1	ENSG00000228782	NA
AC040975.1	ENSG00000247743	NA
AC044907.1	ENSG00000247072	NA
AC046143.5	ENSG00000231770	NA
AC046185.1	ENSG00000245966	NA
AC055707.1	ENSG00000246695	NA
AC055839.1	ENSG00000091592	NA
AC055855.2	ENSG00000247991	NA
AC058791.2	ENSG00000231721	NA
AC060780.1	ENSG00000248253	NA
AC062029.1	ENSG00000234028	NA
AC063943.1	ENSG00000248008	NA
AC063965.2	ENSG00000227268	NA
AC064850.4	ENSG00000235651	NA
AC067950.1	ENSG00000233971	NA
AC068134.10	ENSG00000251485	NA
AC068152.2	ENSG00000246634	NA
AC068282.3	ENSG00000236682	NA
AC068288.1	ENSG00000248011	NA
AC068302.3	ENSG00000228109	NA
AC068446.1	ENSG00000237161	NA
AC068491.1	ENSG00000172965	NA
AC068492.3	ENSG00000227347	NA
AC068775.1	ENSG00000180574	NA
AC068888.1	ENSG00000247550	NA
AC069234.1	ENSG00000157837	NA
AC069257.9	ENSG00000163959	NA
AC069277.2	ENSG00000189229	NA
AC069282.6	ENSG00000225507	NA
AC069360.2	ENSG00000247271	NA
AC069513.3	ENSG00000242086	NA
AC073046.25	ENSG00000235499	NA
AC073046.4	ENSG00000237883	NA
AC073063.10	ENSG00000228335	NA
AC073263.2	ENSG00000245500	NA
AC073321.5	ENSG00000241836	NA
AC073343.8	ENSG00000236609	NA
AC073346.2	ENSG00000214194	NA
AC073508.1	ENSG00000245667	NA
AC073539.1	ENSG00000235157	NA
AC073548.1	ENSG00000245602	NA
AC073573.2	ENSG00000251245	NA
AC073621.1	ENSG00000215030	NA
AC073657.1	ENSG00000246549	NA
AC073869.20	ENSG00000217950	NA
AC073995.2	ENSG00000174501	NA
AC074117.10	ENSG00000234072	NA
AC074138.3	ENSG00000225975	NA
AC074182.1	ENSG00000177855	NA
AC074286.1	ENSG00000213963	NA
AC078819.2	ENSG00000197041	NA
AC078864.1	ENSG00000214487	NA
AC078875.1	ENSG00000231313	NA
AC078983.1	ENSG00000247008	NA
AC079337.1	ENSG00000235734	NA
AC079354.4	ENSG00000223825	NA
AC079612.1	ENSG00000196758	NA
AC079779.4	ENSG00000228643	NA
AC079780.3	ENSG00000236654	NA
AC079811.1	ENSG00000251047	NA
AC079905.1	ENSG00000237176	NA
AC079920.1	ENSG00000247634	NA
AC079922.3	ENSG00000237753	NA
AC083799.4	ENSG00000203644	NA
AC083863.7	ENSG00000237059	NA
AC083871.2	ENSG00000227073	NA
AC083873.4	ENSG00000237821	NA
AC084018.1	ENSG00000184314	NA
AC084031.1	ENSG00000237758	NA
AC084058.2	ENSG00000212961	NA
AC084125.1	ENSG00000248411	NA
AC084880.1	ENSG00000213144	NA
AC087071.1	ENSG00000237785	NA
AC087284.1	ENSG00000246921	NA
AC087289.1	ENSG00000178932	NA
AC087590.3	ENSG00000243898	NA
AC087632.1	ENSG00000247333	NA
AC087650.2	ENSG00000188825	NA
AC087650.4	ENSG00000204733	NA
AC090023.1	ENSG00000213344	NA
AC090061.1	ENSG00000247363	NA
AC090377.1	ENSG00000214346	NA
AC090421.1	ENSG00000214293	NA
AC090510.1	ENSG00000246283	NA
AC090517.2	ENSG00000248500	NA
AC090587.4	ENSG00000229368	NA
AC090602.1	ENSG00000241061	NA
AC090673.1	ENSG00000197301	NA
AC090691.1	ENSG00000248171	NA
AC090699.1	ENSG00000163597	NA
AC090937.2	ENSG00000225733	NA
AC090971.2	ENSG00000248241	NA
AC091132.4	ENSG00000214425	NA
AC091167.3	ENSG00000228998	NA
AC091167.5	ENSG00000246567	NA
AC091196.1	ENSG00000182208	NA
AC091492.2	ENSG00000225026	NA
AC091565.3	ENSG00000140181	NA
AC091565.4	ENSG00000223681	NA
AC091729.9	ENSG00000229043	NA
AC091736.1	ENSG00000233736	NA
AC091849.1	ENSG00000253473	NA
AC092070.2	ENSG00000188699	NA
AC092117.1	ENSG00000205913	NA
AC092123.1	ENSG00000245196	NA
AC092171.4	ENSG00000230733	NA
AC092279.4	ENSG00000249648	NA
AC092295.2	ENSG00000245218	NA
AC092295.7	ENSG00000233527	NA
AC092296.3	ENSG00000181007	NA
AC092329.2	ENSG00000213971	NA
AC092375.4	ENSG00000179038	NA
AC092375.5	ENSG00000248124	NA
AC092384.2	ENSG00000249569	NA
AC092490.1	ENSG00000248882	NA
AC092490.2	ENSG00000249118	NA
AC092535.2	ENSG00000181877	NA
AC092535.3	ENSG00000227189	NA
AC092661.2	ENSG00000213492	NA
AC092835.2	ENSG00000233757	NA
AC093081.1	ENSG00000249078	NA
AC093081.2	ENSG00000175741	NA
AC093106.5	ENSG00000236281	NA
AC093106.7	ENSG00000213261	NA
AC093110.3	ENSG00000238018	NA
AC093323.3	ENSG00000170846	NA
AC093391.2	ENSG00000231890	NA
AC093484.6	ENSG00000249281	NA
AC093509.1	ENSG00000230330	NA
AC093555.1	ENSG00000224237	NA
AC093616.4	ENSG00000234231	NA
AC093642.3	ENSG00000237940	NA
AC093673.5	ENSG00000232533	NA
AC093724.2	ENSG00000213222	NA
AC093726.6	ENSG00000214106	NA
AC093734.11	ENSG00000230487	NA
AC093799.2	ENSG00000214389	NA
AC093818.1	ENSG00000225205	NA
AC093838.4	ENSG00000152117	NA
AC096772.6	ENSG00000244567	NA
AC097359.2	ENSG00000231449	NA
AC097359.3	ENSG00000230409	NA
AC097523.2	ENSG00000234645	NA
AC097662.2	ENSG00000236432	NA
AC097713.4	ENSG00000231682	NA
AC098614.2	ENSG00000213846	NA
AC098776.1	ENSG00000248042	NA
AC098824.6	ENSG00000232202	NA
AC098850.1	ENSG00000231458	NA
AC099524.1	ENSG00000153815	NA
AC099759.1	ENSG00000105889	NA
AC099778.1	ENSG00000250823	NA
AC100748.2	ENSG00000236618	NA
AC100778.1	ENSG00000215472	NA
AC100786.1	ENSG00000172809	NA
AC103563.8	ENSG00000233850	NA
AC103563.9	ENSG00000231062	NA
AC103681.1	ENSG00000214934	NA
AC103796.1	ENSG00000224411	NA
AC103810.3	ENSG00000230329	NA
AC103810.4	ENSG00000214176	NA
AC103965.1	ENSG00000205242	NA
AC104073.1	ENSG00000248460	NA
AC104135.3	ENSG00000204792	NA
AC104186.1	ENSG00000245906	NA
AC104297.1	ENSG00000213383	NA
AC104307.1	ENSG00000245715	NA
AC104597.1	ENSG00000246032	NA
AC104650.2	ENSG00000249762	NA
AC104651.2	ENSG00000240183	NA
AC104653.1	ENSG00000228857	NA
AC104759.1	ENSG00000246638	NA
AC104820.2	ENSG00000234663	NA
AC104996.2	ENSG00000235542	NA
AC105201.1	ENSG00000249862	NA
AC105210.1	ENSG00000245809	NA
AC106000.1	ENSG00000249371	NA
AC106782.4	ENSG00000233443	NA
AC107883.1	ENSG00000173517	NA
AC108134.3	ENSG00000245923	NA
AC108488.1	ENSG00000247886	NA
AC108488.3	ENSG00000234171	NA
AC109826.1	ENSG00000226791	NA
AC109826.2	ENSG00000239795	NA
AC110491.1	ENSG00000233280	NA
AC112504.1	ENSG00000245409	NA
AC113189.5	ENSG00000233223	NA
AC113607.1	ENSG00000237667	NA
AC114772.2	ENSG00000188971	NA
AC114810.5	ENSG00000225234	NA
AC115617.2	ENSG00000233585	NA
AC116351.3	ENSG00000249622	NA
AC116407.1	ENSG00000213524	NA
AC116552.1	ENSG00000245734	NA
AC116904.1	ENSG00000206029	NA
AC116914.1	ENSG00000251042	NA
AC118274.1	ENSG00000247530	NA
AC118344.2	ENSG00000205039	NA
AC118344.5	ENSG00000205041	NA
AC119396.1	ENSG00000228975	NA
AC120114.3	ENSG00000247735	NA
AC121252.1	ENSG00000246870	NA
AC122108.1	ENSG00000249340	NA
AC122688.1	ENSG00000245605	NA
AC123769.1	ENSG00000226049	NA
AC124057.3	ENSG00000223961	NA
AC124312.1	ENSG00000206193	NA
AC124798.1	ENSG00000188211	NA
AC124944.2	ENSG00000224614	NA
AC125232.1	ENSG00000231259	NA
AC125603.1	ENSG00000250553	NA
AC126118.2	ENSG00000225558	NA
AC126365.4	ENSG00000213671	NA
AC126544.1	ENSG00000204650	NA
AC126755.1	ENSG00000205746	NA
AC127024.1	ENSG00000247185	NA
AC127496.1	ENSG00000175911	NA
AC127496.3	ENSG00000175901	NA
AC127521.1	ENSG00000247652	NA
AC129492.6	ENSG00000214999	NA
AC131097.3	ENSG00000233806	NA
AC131263.3	ENSG00000213713	NA
AC131971.3	ENSG00000224636	NA
AC132186.2	ENSG00000246898	NA
AC132812.1	ENSG00000215769	NA
AC132872.2	ENSG00000245410	NA
AC133528.2	ENSG00000228989	NA
AC135050.2	ENSG00000232748	NA
AC135457.1	ENSG00000228672	NA
AC135721.1	ENSG00000251344	NA
AC135977.1	ENSG00000226268	NA
AC135983.5	ENSG00000223509	NA
AC136007.2	ENSG00000179818	NA
AC136940.3	ENSG00000244234	NA
AC137834.1	ENSG00000123384	NA
AC137932.3	ENSG00000225467	NA
AC138028.1	ENSG00000248168	NA
AC138028.2	ENSG00000227808	NA
AC138894.4	ENSG00000184730	NA
AC138904.1	ENSG00000246465	NA
AC138969.2	ENSG00000244257	NA
AC138972.1	ENSG00000237676	NA
AC141586.5	ENSG00000215154	NA
AC144411.1	ENSG00000206016	NA
AC144530.1	ENSG00000234742	NA
AC145098.1	ENSG00000248342	NA
AC145146.1	ENSG00000205575	NA
AC145207.1	ENSG00000247329	NA
AC159540.1	ENSG00000230606	NA
AC174470.1	ENSG00000215621	NA
AC215219.1	ENSG00000226210	NA
AC233309.1	ENSG00000205885	NA
AC233723.1	ENSG00000249874	NA
ACAA1	ENSG00000060971	acetyl-CoA acyltransferase 1
ACAA2	ENSG00000167315	acetyl-CoA acyltransferase 2
ACACA	ENSG00000132142	acetyl-CoA carboxylase alpha
ACACB	ENSG00000076555	acetyl-CoA carboxylase beta
ACAD10	ENSG00000111271	acyl-CoA dehydrogenase family member 10
ACAD8	ENSG00000151498	acyl-CoA dehydrogenase family member 8
ACAD9	ENSG00000177646	acyl-CoA dehydrogenase family member 9
ACADM	ENSG00000117054	acyl-CoA dehydrogenase, C-4 to C-12 straight chain
ACADS	ENSG00000122971	acyl-CoA dehydrogenase, C-2 to C-3 short chain
ACADSB	ENSG00000196177	acyl-CoA dehydrogenase, short/branched chain
ACADVL	ENSG00000072778	acyl-CoA dehydrogenase, very long chain
ACAP1	ENSG00000072818	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
ACAP2	ENSG00000114331	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
ACAP3	ENSG00000131584	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
ACAT1	ENSG00000075239	acetyl-CoA acetyltransferase 1
ACAT2	ENSG00000120437	acetyl-CoA acetyltransferase 2
ACBD3	ENSG00000182827	acyl-CoA binding domain containing 3
ACBD4	ENSG00000181513	acyl-CoA binding domain containing 4
ACBD5	ENSG00000107897	acyl-CoA binding domain containing 5
ACBD6	ENSG00000135847	acyl-CoA binding domain containing 6
ACBD7	ENSG00000176244	acyl-CoA binding domain containing 7
ACCN2	ENSG00000110881	NA
ACCN3	ENSG00000213199	NA
ACD	ENSG00000102977	adrenocortical dysplasia homolog (mouse)
ACER2	ENSG00000177076	alkaline ceramidase 2
ACER3	ENSG00000078124	alkaline ceramidase 3
ACIN1	ENSG00000100813	apoptotic chromatin condensation inducer 1
